epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,,,
0,,49,,,0.328125,1.9842358827590942,,
0,,99,,,0.3046875,1.9417636394500732,,
0,,149,,,0.40625,1.747490406036377,,
0,,199,,,0.3671875,1.729498267173767,,
0,,249,,,0.34375,1.7213325500488281,,
0,,299,,,0.3828125,1.69557523727417,,
0,,349,,,0.421875,1.5941084623336792,,
0,,350,,,,,0.4896000027656555,1.434037446975708
,0.0003,351,,,,,,
1,,399,,,0.4765625,1.443392276763916,,
1,,449,,,0.5,1.4749364852905273,,
1,,499,,,0.4296875,1.5103956460952759,,
1,,549,,,0.453125,1.4807950258255005,,
1,,599,,,0.4375,1.5840346813201904,,
1,,649,,,0.46875,1.4080067873001099,,
1,,699,,,0.59375,1.207537055015564,,
1,,701,,,,,0.5230000019073486,1.3353540897369385
,0.0003,702,,,,,,
2,,749,,,0.4921875,1.3562241792678833,,
2,,799,,,0.515625,1.3815314769744873,,
2,,849,,,0.5078125,1.322028636932373,,
2,,899,,,0.515625,1.3762043714523315,,
2,,949,,,0.546875,1.1853333711624146,,
2,,999,,,0.53125,1.3077062368392944,,
2,,1049,,,0.53125,1.301355242729187,,
2,,1052,,,,,0.5640000104904175,1.217868685722351
,0.0003,1053,,,,,,
3,,1099,,,0.5234375,1.250954270362854,,
3,,1149,,,0.5390625,1.1867213249206543,,
3,,1199,,,0.53125,1.3539317846298218,,
3,,1249,,,0.4765625,1.517259955406189,,
3,,1299,,,0.4921875,1.2734706401824951,,
3,,1349,,,0.5390625,1.0353600978851318,,
3,,1399,,,0.6484375,1.1097091436386108,,
3,,1403,,,,,0.5910000205039978,1.1662898063659668
,0.0003,1404,,,,,,
4,,1449,,,0.5546875,1.26385498046875,,
4,,1499,,,0.546875,1.2149417400360107,,
4,,1549,,,0.5234375,1.3035340309143066,,
4,,1599,,,0.53125,1.2222442626953125,,
4,,1649,,,0.6171875,1.1240732669830322,,
4,,1699,,,0.5390625,1.1784710884094238,,
4,,1749,,,0.59375,1.1986486911773682,,
4,,1754,,,,,0.5982000231742859,1.1290074586868286
,0.0003,1755,,,,,,
5,,1799,,,0.5546875,1.1761927604675293,,
5,,1849,,,0.5625,1.2733325958251953,,
5,,1899,,,0.5859375,1.1297125816345215,,
5,,1949,,,0.625,1.122670292854309,,
5,,1999,,,0.6171875,1.1591620445251465,,
5,,2049,,,0.6015625,1.0861179828643799,,
5,,2099,,,0.5703125,1.0360722541809082,,
5,,2105,,,,,0.6222000122070312,1.0724529027938843
,0.0003,2106,,,,,,
6,,2149,,,0.5859375,1.0716369152069092,,
6,,2199,,,0.5859375,1.1457632780075073,,
6,,2249,,,0.609375,1.1519341468811035,,
6,,2299,,,0.5078125,1.283191204071045,,
6,,2349,,,0.6328125,1.070022463798523,,
6,,2399,,,0.5859375,0.988801121711731,,
6,,2449,,,0.578125,1.1779338121414185,,
6,,2456,,,,,0.6276000142097473,1.0389996767044067
,0.0003,2457,,,,,,
7,,2499,,,0.671875,1.0596855878829956,,
7,,2549,,,0.6328125,1.0247418880462646,,
7,,2599,,,0.5078125,1.3378520011901855,,
7,,2649,,,0.671875,1.0427840948104858,,
7,,2699,,,0.6328125,1.1364586353302002,,
7,,2749,,,0.59375,1.1326625347137451,,
