1979, 124
1980, 168
1981, 145
1982, 142
1983, 154
1984, 141
1985, 160
1986, 158
1987, 163
1988, 170
1989, 155
1990, 170
1991, 124
1992, 146
1993, 170
1994, 149
1995, 148
1996, 140
1997, 143
1998, 170
1999, 149
2000, 166
2001, 148
2002, 156
2003, 137
2004, 151
2005, 149
2006, 162
2007, 152
2008, 161
2009, 134
2010, 148
2011, 166
2012, 147
2013, 152
2014, 148
2015, 145
2016, 137
2017, 140
2018, 133
2019, 156
2020, 138
2021, 154
2022, 140
